"geoid","neighborhood_name","total_pop","assault_index","burglary_index","assault_pc","burglary_pc"
"48397040301","Rowlett",5360,47,59,876.866,1100.75
"48085030100","Blue Ridge",6354,82,73,1290.53,1148.88
"48085030201","Melissa",2669,88,79,3297.12,2959.91
"48085030202","Weston",2065,34,43,1646.49,2082.32
"48085030203","Anna",15155,26,62,171.561,409.106
"48085030301","Tucker Hill",3799,45,50,1184.52,1316.14
"48085030302","Prosper",2366,118,41,4987.32,1732.88
"48085030303","Prosper",6157,121,88,1965.24,1429.27
"48085030304","Prosper",2872,94,91,3272.98,3168.52
"48085030305","Celina/Northwest McKinney",9007,47,55,521.816,610.636
"48085030403","Downtown Frisco",5603,20,57,356.952,1017.31
"48085030404","Frisco (east of Preston)",5914,13,48,219.817,811.633
"48085030405","Preston Vinyards",4911,34,88,692.323,1791.9
"48085030406","Stonebrook",2968,43,117,1448.79,3942.05
"48085030407","Starwood",3948,25,36,633.232,911.854
"48085030408","Downtown Frisco",7019,66,111,940.305,1581.42
"48085030504","Stonebriar",2604,83,117,3187.4,4493.09
"48085030505","Stonebriar",3496,122,175,3489.7,5005.72
"48085030506","Frisco (east of Preston)",2893,14,37,483.927,1278.95
"48085030507","Frisco (east of Preston)",1894,4,26,211.193,1372.76
"48085030508","Frisco (east of Preston)",5822,3,18,51.5287,309.172
"48085030509","Frisco (east of Preston)",2516,9,46,357.711,1828.3
"48085030510","Frisco (east of Preston)",2998,10,35,333.556,1167.44
"48085030511","Frisco (east of Preston)",5147,13,46,252.574,893.725
"48085030512","Frisco (east of Preston)",4321,18,22,416.57,509.141
"48085030513","Craig Ranch",6460,90,89,1393.19,1377.71
"48085030514","Eldorado Heights",6890,11,22,159.652,319.303
"48085030515","Eldorado Heights",6668,9,27,134.973,404.919
"48085030516","Nesbitt Park",5947,28,48,470.826,807.13
"48085030517","North of Craig Ranch",6012,20,37,332.668,615.436
"48085030518","Frisco (east of Preston)",2608,19,35,728.528,1342.02
"48085030519","Frisco (north of Eldorado)",2081,63,83,3027.39,3988.47
"48085030520","Frisco (east of Preston)",5423,17,52,313.48,958.879
"48085030521","Frisco (north of Eldorado)",3622,7,26,193.263,717.835
"48085030522","West McKinney",5757,10,37,173.702,642.696
"48085030523","West McKinney",9387,15,52,159.795,553.958
