"NEIGHBORHO","murder_z","burglary_z","robbery_z"
"Winnetka Heights",-0.487894573253738,1.28354474929254,-0.371052726563779
"Preston Hollow East",-0.487894573253738,-0.529484123052495,-0.80932928938325
"West Kessler",-0.487894573253738,-0.313741224181834,-0.722775440818892
"Moore Park",0.883117144133251,0.530362399003537,0.734890593810311
"Highland Meadows",-0.487894573253738,-0.214759236235628,0.957673778084781
"Richardson Heights",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Highland Park",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Sachse",-0.487894573253738,-0.967645340624041,-0.906401937551299
"Highland Terrace",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Ewing-Corinth",0.519099809155415,0.175182740219424,-0.105794091886338
"Vickery Meadows",-0.487894573253738,0.628756674116978,0.614130620893837
"West Plano",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Wheatley Place and Bertrand",1.70352800271434,0.313481362950148,-0.0452730701506734
"Duncanville",-0.302487303291719,-0.969431845283699,-0.906401937551299
"Victory",-0.487894573253738,1.24270242711688,-0.0370671382507577
"Wynnewood Heights",-0.487894573253738,-0.448723214730149,0.207168665823248
"Cedars",1.31601725224978,2.92332477533279,0.997615125140744
"Midway Meadows",-0.487894573253738,-0.00584988631156686,0.0123201818082709
"West Oak Cliff",-0.379598153805161,-0.218819869691389,-0.176030116470036
"Design District",0.408293590107026,2.14273017650517,1.28573174432046
"Ridgewood Park",-0.487894573253738,-0.000760968823963417,-0.611323926619727
"Oaktree North Estates",-0.487894573253738,-0.502718309846943,-0.045139533281431
"Dallas North Estates",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Mount Auburn",-0.487894573253738,0.642114183085925,0.545854810616796
"Little Forest Hills",-0.487894573253738,-0.288172667020948,-0.473879180447262
"Reservation",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Walnut Hill",-0.487894573253738,-0.321523754344443,0.779841399162248
"Grand Prairie (other)",-0.487894573253738,-0.965029408040338,-0.906088107232601
"Balch Springs",-0.487894573253738,-0.969431845283699,-0.906401937551299
"Northwest Dallas",4.05814548323579,7.12150474238145,6.94019320142931
"East Oak Cliff",1.71002469894827,1.0138645631247,1.56078170260055
"Deep Ellum",1.34230460164045,2.15887172958002,2.70624583973852
"Glendale Heights",0.878715034315955,-0.21610271923329,-0.306943260086746
"Park Lane",0.874341130287641,0.602257032992253,-0.234169382951947
"Hollywood Heights/Santa Monica",-0.487894573253738,0.246180499302112,-0.301306543645209
"Spring Creek Village",-0.487894573253738,-0.443290255345631,-0.802217742007491
"Lakewood",-0.487894573253738,-0.549803175285948,-0.503994450408728
"North Oak Cliff",-0.253233529578443,-0.153195432812222,0.290197300788301
"Lake Highlands",0.826858747013685,0.101765833647482,0.240347361546033
