tgpagellamath-regular	version 1.543
stixvariants-bold	version 1.1
stix-bold	1.1.1
stixsizetwosym-bold	version 1.1
stixsizetwosym-regular	version 1.1
stixgeneral-regular	version 1.1
stixsizefoursym-bold	version 1.1
um typewriter italic	001.002
um typewriter	001.002
um typewriter oblique	001.002
um typewriter bold	001.002
um typewriter bold italic	001.002
xcharter italic	1.0
xcharter bold italic	1.0
xcharter roman	1.0
xcharter bold	1.0
fbb bold italic	0.9
fbb bold	0.9
fbb regular	0.9
fbb italic	0.9
mdsymbol bold	2.000
mdsymbol regular	2.000
mdsymbol light	2.000
mdsymbol semibold	2.000
fontawesome	001.001
cyklop-italic	0.91
cyklop-regular	0.91
antykwatorunskacond-bolditalic	2.08
antykwatorunskamed-italic	2.08
antykwatorunskalight-italic	2.08
antykwatorunskalight-regular	2.08
antykwatorunska-italic	2.08
antykwatorunska-regular	2.08
antykwatorunskacondlight-italic	2.08
antykwatorunskamed-regular	2.08
antykwatorunskacondmed-regular	2.08
antykwatorunskacond-regular	2.08
antykwatorunskacondlight-regular	2.08
antykwatorunskacond-bold	2.08
antykwatorunskacondmed-italic	2.08
antykwatorunska-bold	2.08
antykwatorunskacond-italic	2.08
antykwatorunska-bolditalic	2.08
antpoltsemicond-bold	1.101
antpoltsemiexpd-bolditalic	1.101
antpoltsemicond-italic	1.101
antpoltlt-bold	1.101
antpoltltexpd-bold	1.101
antpolt-regular	1.101
antpoltltsemiexpd-bolditalic	1.101
antpoltlt-bolditalic	1.101
antpoltsemiexpd-regular	1.101
antpoltltsemiexpd-bold	1.101
antpoltexpd-bold	1.101
antpolt-bold	1.101
antpoltcond-regular	1.101
antpoltexpd-bolditalic	1.101
antpoltexpd-regular	1.101
antpolt-bolditalic	1.101
antpoltltsemicond-regular	1.101
antpoltltsemicond-bolditalic	1.101
antpoltlt-italic	1.101
antpoltcond-bolditalic	1.101
antpoltltsemicond-bold	1.101
antpoltcond-italic	1.101
antpoltsemiexpd-bold	1.101
antpoltltcond-italic	1.101
antpoltltexpd-italic	1.101
antpoltltsemicond-italic	1.101
antpoltltcond-bold	1.101
antpoltsemicond-regular	1.101
antpoltlt-regular	1.101
antpoltltsemiexpd-italic	1.101
antpolt-italic	1.101
antpoltltsemiexpd-regular	1.101
antpoltexpd-italic	1.101
antpoltsemicond-bolditalic	1.101
antpoltsemiexpd-italic	1.101
antpoltltcond-regular	1.101
antpoltltexpd-regular	1.101
antpoltltcond-bolditalic	1.101
antpoltltexpd-bolditalic	1.101
antpoltcond-bold	1.101
iwonacondmedium-regular	0.995
iwonaheavy-regular	0.995
iwonacond-bold	0.995
iwonalight-italic	0.995
iwonacondheavy-italic	0.995
iwonacondmedium-italic	0.995
iwona-bolditalic	0.995
iwona-italic	0.995
iwonamedium-italic	0.995
iwonacond-bolditalic	0.995
iwonacondlight-italic	0.995
iwonalight-regular	0.995
iwona-regular	0.995
iwonacond-italic	0.995
iwonaheavy-italic	0.995
iwonacondheavy-regular	0.995
iwonacondlight-regular	0.995
iwona-bold	0.995
iwonacond-regular	0.995
iwonamedium-regular	0.995
kuriermedium-regular	0.995
kuriercondmedium-italic	0.995
kurier-bold	0.995
kurierheavy-regular	0.995
kuriercondmedium-regular	0.995
kuriercond-italic	0.995
kurier-regular	0.995
kuriermedium-italic	0.995
kurierheavy-italic	0.995
kuriercond-regular	0.995
kuriercond-bolditalic	0.995
kuriercond-bold	0.995
kuriercondheavy-regular	0.995
kuriercondlight-regular	0.995
kuriercondheavy-italic	0.995
kurier-bolditalic	0.995
kuriercondlight-italic	0.995
kurier-italic	0.995
kurierlight-regular	0.995
kurierlight-italic	0.995
source code pro light	1.000
source code pro black	1.000
source code pro	1.000
source code pro extralight	1.000
source code pro bold	1.000
source code pro semibold	1.000
source code pro	1.000
source sans pro semibold italic	1.000
source sans pro bold italic	1.000
source sans pro bold	1.000
source sans pro black italic	1.000
source sans pro italic	1.000
source sans pro black	1.000
source sans pro extralight italic	1.000
source sans pro extralight	1.000
source sans pro semibold	1.000
source sans pro light	1.000
source sans pro light italic	1.000
source sans pro	1.000
quattrocento sans	2.000
quattrocento sans bold italic	2.000
quattrocento sans italic	2.000
quattrocento bold italic	2.000
quattrocento sans bold	2.000
quattrocento	2.000
quattrocento italic	2.000
quattrocento bold	2.000
libre baskerville italic	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre baskerville bold	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre baskerville bold italic	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre baskerville	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre caslon text	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre caslon text bold	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre caslon text bold italic	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
libre caslon text italic	1.000; ttfautohint (v0.93) -l 8 -r 50 -g 200 -x 14 -w "g"
lobster two bold	001.001
lobster two italic	001.001
lobster two	001.001
lobster two bold italic	001.001
cabin medium italic	001.001
cabin bold italic	001.001
cabin condensed semibold	1.006
cabin condensed bold	1.006
cabin bold	001.001
cabin italic	001.001
cabin condensed bold italic	1.006
cabin condensed semibold italic	1.006
cabin medium	001.001
cabin regular	001.001
cabin condensed regular italic	1.006
cabin condensed medium italic	1.006
cabin condensed regular	1.006
cabin condensed medium	1.006
cabin semibold italic	001.001
cabin semibold	001.001
raleway italic	001.001
raleway black italic	001.001
raleway thin italic	001.001
raleway medium	001.001
raleway bold	001.001
raleway semibold	001.001
raleway thin	001.001
raleway extralight italic	001.001
raleway bold italic	001.001
raleway regular	001.001
raleway extrabold	001.001
raleway light	001.001
raleway black	001.001
raleway medium italic	001.001
raleway light italic	001.001
raleway extrabold italic	001.001
raleway extralight	001.001
raleway semibold italic	001.001
alegreya sans sc light	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans black	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc bold	1.003
alegreya bold italic	1.003
alegreya sans sc medium italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya black italic	1.003
alegreya sans sc bold italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans medium	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans extrabold	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc medium	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans thin	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc	1.003
alegreya sans sc thin italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc bold	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans bold	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc extrabold	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc extrabold italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya black	1.003
alegreya sans sc light italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya bold	1.003
alegreya sans light	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc bold italic	1.003
alegreya italic	1.003
alegreya sans sc black italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc thin	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans black italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc black italic	1.003
alegreya sans	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans medium italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans sc black	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya	1.003
alegreya sans light italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans thin italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc black	1.003
alegreya sans italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans bold italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sc italic	1.003
alegreya sans sc	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
alegreya sans extrabold italic	1.000;ps 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 development; ttfautohint (v0.97) -l 8 -r 50 -g 200 -x 17 -f dflt -w g -w
mint spirit bold italic	1.004
mint spirit italic	1.004
mint spirit no2 regular	1.004
mint spirit no2 bold	1.004
mint spirit no2 bold italic	1.004
mint spirit regular	1.004
mint spirit no2 italic	1.004
mint spirit bold	1.004
berenis adf pro bold italic	1.004
berenis adf pro regular	1.004
berenis adf pro sc bold italic	1.004
berenis adf pro bold	1.004
berenis adf pro sc regular	1.004
berenis adf pro sc bold	1.004
berenis adf pro italic	1.004
berenis adf pro sc italic	1.004
accanthis adf std no3 bold italic	1.004
accanthis adf std no3 italic	1.004
accanthis adf std no3 regular	1.004
accanthis adf std no3 bold	1.004
gillius adf no2 cond italic	1.009
gillius adf cond italic	1.009
gillius adf cond	1.009
gillius adf bold	1.007
gillius adf no2 cond bold italic	1.009
gillius adf italic	1.007
gillius adf no2 cond bold	1.009
gillius adf no2 cond regular	1.009
gillius adf no2 bold	1.006
gillius adf no2 italic	1.006
gillius adf bold italic	1.007
gillius adf cond bold	1.009
gillius adf cond bold italic	1.009
gillius adf no2 bold italic	1.006
gillius adf regular	1.007
gillius adf no2 regular	1.006
fonetika dania pallae bold	001.000
fonetika dania iwonae regular	001.000
fonitika dania iwonae bold	001.000
fonetika dania pallae regular	001.000
asana math	000.951
junicode bold italic	0.7.8 ; ttfautohint (v0.97) -l 20 -r 150 -g 200 -x 14 -f dflt -w g
junicode italic	0.7.8 ; ttfautohint (v0.97) -l 20 -r 150 -g 200 -x 14 -f dflt -w g
junicode bold	0.7.8 ; ttfautohint (v0.97) -l 20 -r 150 -g 200 -x 14 -f dflt -w g
junicode	0.7.8 ; ttfautohint (v0.97) -l 20 -r 150 -g 200 -x 14 -f dflt -w g
blsy	1.0
blex	1.0
rblmi	1.0
gentium plus compact italic	1.508; 2011; maintenance release ; lnspctght
gentium	1.02; 2005; ofl release
gentiumalt	1.02; 2005; ofl release
gentium plus compact	1.508; 2011; maintenance release ; lnspctght
gentium basic italic	1.100
gentium book basic bold	1.100
gentium italic	1.02; 2005; ofl release
gentium basic	1.100
gentium basic bold	1.100
gentium basic bold italic	1.100
gentium book basic italic	1.100
gentium book basic bold italic	1.100
gentium book basic	1.100
gentiumalt italic	1.02; 2005; ofl release
gentium plus	1.510
gentium plus italic	1.510
lato-lightitalic	1.104; western+polish opensource
lato-hairlineitalic	1.104; western+polish opensource
lato-hairline	1.104; western+polish opensource
lato black italic	1.104; western+polish opensource
lato regular	1.104; western+polish opensource
lato bold italic	1.104; western+polish opensource
lato bold	1.104; western+polish opensource
lato black	1.104; western+polish opensource
lato-light	1.104; western+polish opensource
lato italic	1.104; western+polish opensource
droid serif	1.00 build 113
droid sans	1.00 build 114
droid serif bold italic	1.00 build 113
droid sans mono	1.00 build 113
droid sans bold	1.00 build 113
droid serif italic	1.00 build 113
droid serif bold	1.00 build 113
eb garamond 12 regular	0.015 ; ttfautohint (v0.9.15-a7bc-dirty) -l 8 -r 50 -g 200 -x 0 -w "ggd"
eb garamond initials	0.015 ; ttfautohint (v0.9.15-a7bc-dirty) -l 8 -r 50 -g 200 -x 0 -w "ggd"
eb garamond 12 italic	0.015 ; ttfautohint (v0.9.15-a7bc-dirty) -l 8 -r 50 -g 200 -x 0 -w "ggd"
freeserif	0412.2263
freesans bold oblique	0412.2268
freemono oblique	0412.2264
freemono bold oblique	0412.2261
freeserif bold	0412.2268
freemono	0412.2268
freemono bold	0412.2261
freeserif italic	0412.2268
freesans bold	0412.2261
freesans	0412.2268
freesans oblique	0412.2261
freeserif bold italic	0412.2268
dejavu serif bold	2.34
dejavu sans bold	2.34
dejavu sans mono bold	2.34
dejavu sans	2.34
dejavu sans mono	2.34
dejavu serif	2.34
anonymous pro	1.002
anonymous pro italic	1.002
anonymous pro bold italic	1.002
anonymous pro bold	1.002
open sans light italic	1.10
open sans condensed light	1.10
open sans semibold italic	1.10
open sans semibold	1.10
open sans italic	1.10
open sans extrabold italic	1.10
open sans bold	1.10
open sans bold italic	1.10
open sans light	1.10
open sans extrabold	1.10
open sans	1.10
open sans condensed light italic	1.10
comfortaa light	2.003 2012
comfortaa bold	2.003 2012
comfortaa	2.003 2012
pt sans caption bold	2.003
pt sans narrow	2.003
pt sans narrow bold	2.003
pt sans caption	2.004
pt sans italic	2.003
pt sans	2.003
pt sans bold	2.003
pt sans bold italic	2.003
pt serif bold	1.000
pt serif caption	1.000
pt serif bold italic	1.000
pt serif	1.000
pt serif caption italic	1.000
pt serif italic	1.000
pt mono bold	1.000
pt mono	1.002
lobster two bold	1.006
lobster two italic	1.006
lobster two bold italic	1.006
lobster two	1.006
merriweather light italic	1.001
merriweather bold	1.003
merriweather italic	1.001
merriweather	1.003
merriweather sans bold	1.003; ttfautohint (v0.93.8-669f) -l 7 -r 28 -g 0 -x 13 -w "" -w -c
merriweather sans extrabold italic	1.000
merriweather heavy	1.003
merriweather light	1.003
merriweather sans regular	1.003; ttfautohint (v0.93.8-669f) -l 7 -r 28 -g 0 -x 13 -w "" -w -c
merriweather bold italic	1.001
merriweather sans light	1.003; ttfautohint (v0.93.8-669f) -l 7 -r 28 -g 0 -x 13 -w "" -w -c
merriweather sans italic	1.000
merriweather sans bold italic	1.000
merriweather sans extrabold	1.003; ttfautohint (v0.93.8-669f) -l 7 -r 28 -g 0 -x 13 -w "" -w -c
merriweather heavy italic	1.001
merriweather sans light italic	1.000
ume p gothic o5	look update time of this file.
ume ui gothic	look update time of this file.
ume mincho s3	look update time of this file.
ume p mincho	look update time of this file.
ume p gothic s5	look update time of this file.
ume gothic c5	look update time of this file.
ume ui gothic o5	look update time of this file.
ume mincho	look update time of this file.
ume gothic s5	look update time of this file.
ume p mincho s3	look update time of this file.
ume gothic o5	look update time of this file.
ume p gothic c4	look update time of this file.
ume p gothic	look update time of this file.
ume gothic	look update time of this file.
ume gothic s4	look update time of this file.
ume p gothic c5	look update time of this file.
ume p gothic s4	look update time of this file.
ume gothic c4	look update time of this file.
ubuntu italic	0.80
ubuntu medium italic	0.80
ubuntu mono italic	0.80
ubuntu bold	0.80
ubuntu condensed	0.80
ubuntu mono bold	0.80
ubuntu medium	0.80
ubuntu bold italic	0.80
ubuntu	0.80
ubuntu light	0.80
ubuntu mono bold italic	0.80
ubuntu light italic	0.80
ubuntu mono	0.80
liberation serif bold	1.07.3
liberation sans bold italic	1.07.3
liberation sans bold	1.07.3
liberation serif italic	1.07.3
liberation sans	1.07.3
liberation sans narrow	1.07.3
liberation mono	1.07.3
liberation mono bold	1.07.3
liberation mono bold italic	1.07.3
liberation serif	1.07.3
liberation sans narrow italic	1.07.3
liberation sans italic	1.07.3
liberation sans narrow bold italic	1.07.3
liberation serif bold italic	1.07.3
liberation sans narrow bold	1.07.3
liberation mono italic	1.07.3
nanummyeongjo	3.01;ps 1;hotconv 1.0.56;makeotf.lib2.0.21325
nanumbarungothic	1.001 2013 initial release
nanumbarungothic bold	1.000 2013 initial release
nanumgothicbold	3.020;ps 1;hotconv 1.0.57;makeotf.lib2.0.21895
nanumgothic	3.020;ps 1;hotconv 1.0.57;makeotf.lib2.0.21895
