tgpagellamath-regular	version 1.543
tgtermesmath-regular	version 1.010
lmmonoproplt10-oblique	2.004
lmmonolt10-oblique	2.004
lmroman9-italic	2.004
lmsans12-oblique	2.004
lmmonoproplt10-bold	2.004
lmroman12-bold	2.004
lmmonolt10-boldoblique	2.004
lmroman7-regular	2.004
lmromandemi10-oblique	2.004
lmmono8-regular	2.004
lmsans8-oblique	2.004
lmroman12-regular	2.004
lmsans17-regular	2.004
lmsans12-regular	2.004
lmroman7-italic	2.004
lmromanslant10-regular	2.004
lmroman5-regular	2.004
lmromanunsl10-regular	2.004
lmroman10-regular	2.004
lmromanslant10-bold	2.004
lmromanslant8-regular	2.004
lmroman7-bold	2.004
lmroman6-regular	2.004
lmmono10-italic	2.004
lmsans8-regular	2.004
lmromanslant9-regular	2.004
lmsansquot8-boldoblique	2.004
lmroman17-regular	2.004
lmroman10-bold	2.004
lmmonoslant10-regular	2.004
lmroman9-regular	2.004
lmromanslant17-regular	2.004
lmsans10-oblique	2.004
lmmonoltcond10-oblique	2.004
lmsans9-regular	2.004
lmroman10-italic	2.004
lmromanslant12-regular	2.004
lmmono10-regular	2.004
lmroman5-bold	2.004
lmmonoprop10-oblique	2.004
lmroman6-bold	2.004
lmmonoltcond10-regular	2.004
lmromandunh10-oblique	2.004
lmmono12-regular	2.004
lmsansquot8-oblique	2.004
lmsansquot8-bold	2.004
lmmonolt10-regular	2.004
lmromandemi10-regular	2.004
lmmonoprop10-regular	2.004
lmmonoproplt10-regular	2.004
lmsans10-bold	2.004
lmmono9-regular	2.004
lmromancaps10-regular	2.004
lmmonolt10-bold	2.004
lmsansdemicond10-regular	2.004
lmsans10-regular	2.004
lmroman10-bolditalic	2.004
lmroman9-bold	2.004
lmroman8-regular	2.004
lmmonoproplt10-boldoblique	2.004
lmsansdemicond10-oblique	2.004
lmroman12-italic	2.004
lmsans9-oblique	2.004
lmsansquot8-regular	2.004
lmsans17-oblique	2.004
lmmonocaps10-oblique	2.004
lmroman8-bold	2.004
lmmonocaps10-regular	2.004
lmromancaps10-oblique	2.004
lmroman8-italic	2.004
lmsans10-boldoblique	2.004
lmromandunh10-regular	2.004
texgyretermes-bolditalic	2.004
texgyreschola-regular	2.005
texgyrebonum-regular	2.004
texgyretermes-bold	2.004
texgyreheros-regular	2.004
texgyreadventor-regular	2.003
texgyrebonum-bolditalic	2.004
texgyreschola-bold	2.005
texgyrepagella-bolditalic	2.004
texgyrepagella-italic	2.004
texgyrecursor-regular	2.004
texgyreadventor-bold	2.003
texgyrecursor-bold	2.004
texgyreheroscondensed-regular	2.004
texgyreheroscondensed-italic	2.004
texgyreadventor-bolditalic	2.003
texgyrepagella-bold	2.004
texgyreadventor-italic	2.003
texgyrebonum-italic	2.004
texgyretermes-italic	2.004
texgyrecursor-italic	2.004
texgyrebonum-bold	2.004
texgyreheros-bold	2.004
texgyreschola-bolditalic	2.005
texgyrepagella-regular	2.004
texgyrecursor-bolditalic	2.004
texgyrechorus-mediumitalic	2.003
texgyretermes-regular	2.004
texgyreheros-italic	2.004
texgyreheroscondensed-bolditalic	2.004
texgyreheros-bolditalic	2.004
texgyreschola-italic	2.005
texgyreheroscondensed-bold	2.004
lmodernmath-regular	version 1.950
ccicons	1.002
gfs didot bold italic	001.001
gfs olga regular	001.000
gfs didot regular	001.001
gfs didot italic	001.001
gfs didot bold	001.001
mnsymbol-bold6	1.001
mnsymbol-bold8	1.001
mnsymbol-bold12	1.001
mnsymbol10	1.001
mnsymbol5	1.001
mnsymbol7	1.001
mnsymbol-bold9	1.001
mnsymbol12	1.001
mnsymbol6	1.001
mnsymbol-bold10	1.001
mnsymbol8	1.001
mnsymbol9	1.001
mnsymbol-bold7	1.001
mnsymbol-bold5	1.001
gfs neohellenic italic	001.001
gfs neohellenic bold italic	001.001
gfs neohellenic regular	001.001
gfs neohellenic bold	001.001
fetamont bold oblique 10	1.2
fetamont light script oblique10	1.2
fetamont light condensed 10	1.2
fetamont bold 8	1.2
fetamont light condensed oblique10	1.2
fetamont heavy oblique 9	1.2
fetamont heavy oblique 8	1.2
fetamont bold script oblique 10	1.2
fetamont script 10	1.2
fetamont bold condensed 40	1.2
fetamont condensed oblique 10	1.2
fetamont bold oblique 8	1.2
fetamont heavy 9	1.2
fetamont heavy script oblique 10	1.2
fetamont heavy 10	1.2
fetamont light 10	1.2
fetamont light ultra-condensed oblique10	1.2
fetamont heavy 8	1.2
fetamont oblique 8	1.2
fetamont light script10	1.2
fetamont light oblique10	1.2
fetamont script oblique 10	1.2
fetamont bold oblique 9	1.2
fetamont oblique 10	1.2
fetamont bold 10	1.2
fetamont oblique 9	1.2
fetamont regular 10	1.2
fetamont heavy script 10	1.2
fetamont bold condensed oblique 40	1.2
fetamont heavy oblique 10	1.2
fetamont condensed 10	1.2
fetamont regular 8	1.2
fetamont regular 9	1.2
fetamont bold script 10	1.2
fetamont light ultra-condensed 10	1.2
fetamont bold 9	1.2
cmu typewriter text light oblique	0.7.0
cmu bright semibold	0.7.0
cmu concrete bold extended roman	0.7.0
cmu typewriter text regular	0.7.0
cmu typewriter text bold	0.7.0
cmu bright bold extended oblique	0.7.0
cmu concrete bold extended italic	0.7.0
cmu classical serif italic	0.7.0
cmu serif italic	0.7.0
cmu typewriter text variable width italic	0.7.0
cmu typewriter text bold italic	0.7.0
cmu serif roman bold nonextended	0.7.0
cmu typewriter text variable width	0.7.0
cmu typewriter text oblique	0.7.0
cmu sans serif demi condensed	0.7.0
cmu bright bold extended	0.7.0
cmu typewriter text italic	0.7.0
cmu sans serif bold extended	0.7.0
cmu serif bold extended roman	0.7.0
cmu serif roman slanted	0.7.0
cmu serif upright italic	0.7.0
cmu concrete roman	0.7.0
cmu typewriter text light	0.7.0
cmu sans serif bold extended oblique	0.7.0
cmu sans serif oblique	0.7.0
cmu serif bold extended italic	0.7.0
cmu concrete italic	0.7.0
cmu bright roman	0.7.0
cmu sans serif	0.7.0
cmu serif bold extended slanted roman	0.7.0
cmu bright semibold oblique	0.7.0
cmu serif roman	0.7.0
cmu bright oblique	0.7.0
philokalia regular	001.010
asana math	000.907
fdsymbol medium	1.008
fdsymbol regular	1.008
fdsymbol bold	1.008
fdsymbol book	1.008
gfs bodoni bold italic	001.001
gfs bodoni italic	001.001
gfs bodoni regular	001.001
gfs bodoni bold	001.001
xits italic	1.107
xits math bold	1.108
xits bold italic	1.107
xits	1.107
xits math	1.108
xits bold	1.107
phaistos	001.001
ocrb7	001.001
ocrb8	001.001
ocrb9	001.001
ocrb10	001.001
ocrb6	001.001
ocrb5	001.001
gfs solomos regular	001.001
old standard bold	2.0.2
old standard regular	2.0.2
old standard italic	2.0.2
punk nova	001.003
punk nova bold slanted	001.003
punk nova slanted	001.003
punk nova bold	001.003
inconsolata zi4 regular	1.014
inconsolata zi4 bold	1.014
inconsolata	001.010
eb garamond initials	0.015
eb garamond 12 italic	0.015
eb garamond 12 regular	0.015
latinmodernmath-regular	version 1.958
gfs complutum regular	001.001
semafor-slant	2.0
semafor-bold-slant	2.0
semafor-nopillar-bold	2.0
semafor-mono	2.0
semafor-nopillar-slant	2.0
semafor-personpillar-bold-slant	2.0
semafor-personpillar-slant	2.0
semafor-regular	2.0
semafor-personpillar	2.0
semafor-nopillar	2.0
semafor-personpillar-mono	2.0
semafor-bold	2.0
semafor-nopillar-mono	2.0
semafor-nopillar-bold-slant	2.0
semafor-pesonpillar-bold	2.0
gfs artemisia italic	001.001
gfs artemisia bold italic	001.001
gfs artemisia regular	001.001
gfs artemisia bold	001.001
freeserif bold italic	0412.2268
freesans oblique	0412.2261
freemono	0412.2268
freemono bold oblique	0412.2261
freesans bold	0412.2261
freesans	0412.2268
freemono bold	0412.2261
freemono oblique	0412.2264
freesans bold oblique	0412.2268
freeserif bold	0412.2268
freeserif italic	0412.2268
freeserif	0412.2263
linux libertine initials o	5.0.6
linux biolinum keyboard o	0.6.1
linux libertine mono o bold	5.1.7
linux libertine mono o	5.1.7
linux libertine mono o oblique	5.1.7
linux biolinum o	1.1.8
linux biolinum o italic	1.1.3
linux libertine o semibold italic	5.1.2
linux libertine o semibold	5.1.2
linux biolinum o bold oblique	1.3.2
linux libertine display o	5.1.3
linux libertine o bold	5.1.4
linux biolinum o bold	1.3.2
linux libertine o italic	5.1.6
linux libertine o bold italic	5.1.8
linux libertine o	5.3.0
linux libertine mono o bold oblique	5.1.7
stixsizefivesym-regular	version 1.1
stixnonunicode-bolditalic	version 1.1
stixintegralssm-bold	version 1.1
stixsizethreesym-regular	version 1.1
stixintegralsup-regular	version 1.1
stixgeneral-italic	version 1.1
stixintegralsupd-regular	version 1.1
stixintegralsupsm-bold	version 1.1
stixsizeonesym-bold	version 1.1
stixnonunicode-bold	version 1.1
stixsizeonesym-regular	version 1.1
stixnonunicode-regular	version 1.1
stix math regular	1.1.1
stixintegralsupsm-regular	version 1.1
stixnonunicode-italic	version 1.1
stix-regular	1.1.1
stix-italic	1.1.1
stixsizethreesym-bold	version 1.1
stixgeneral-bold	version 1.1
stixintegralsd-regular	version 1.1
stixintegralsd-bold	version 1.1
stixintegralsup-bold	version 1.1
stix-bolditalic	1.1.1
stixintegralsupd-bold	version 1.1
stixintegralssm-regular	version 1.1
stixgeneral-bolditalic	version 1.1
stixsizefoursym-regular	version 1.1
stixvariants-regular	version 1.1
