"NEIGHBORHO","num_murders","num_burglary","num_robbery","total_pop","murder_pc","burglary_pc","robbery_pc"
"Winnetka Heights",0,81,18,1177,0,6881.90311193466,1529.31185439229
"Preston Hollow East",0,63,13,4688,0,1343.85665878654,277.303764596581
"West Kessler",0,42,11,2097,0,2002.86116451025,524.558871984482
"Moore Park",1,128,131,2794,35.7909797457978,4581.24540746212,4688.6183321476
"Highland Meadows",0,100,231,4338,0,2305.20982295275,5325.03463327885
"Richardson Heights",0,0,0,7746,0,0,0
"Highland Park",0,0,0,8531,0,0,0
"Sachse",0,1,0,18325,0,5.4570260545006,0
"Highland Terrace",0,0,0,5225,0,0,0
"Ewing-Corinth",1,133,87,3804,26.28811635077,3496.31980061531,2287.06616908312
"Vickery Meadows",0,254,226,5203,0,4881.79884850979,4343.64788234234
"West Plano",0,0,0,86435,0,0,0
"Wheatley Place and Bertrand",2,137,86,3496,57.2082353755832,3918.76436769962,2459.95428413153
"Duncanville",2,0,0,41321,4.8401539970655,0,0
"Victory",0,234,86,3463,0,6757.14686512947,2483.39585959911
"Wynnewood Heights",0,70,140,4401,0,1590.5475243926,3181.09504878521
"Cedars",2,505,231,4247,47.0920640509576,11890.74665308,5439.1335695982
"Midway Meadows",0,120,107,4077,0,2943.34068894386,2624.47874993086
"West Oak Cliff",2,1622,1476,70743,2.82713481283281,2292.8062826395,2086.42557263374
"Design District",3,1219,803,12823,23.3954619034193,9506.35597109795,6262.18542456627
"Ridgewood Park",0,172,49,5813,0,2958.88520777225,842.93819963932
"Oaktree North Estates",0,62,107,4349,0,1425.61504617333,2460.33575385809
"Dallas North Estates",0,0,0,3510,0,0,0
"Mount Auburn",0,159,134,3230,0,4922.60046303272,4148.6069560051
"Little Forest Hills",0,128,76,6151,0,2080.96243441105,1235.57141050696
"Reservation",0,0,0,3459,0,0,0
"Walnut Hill",0,106,258,5356,0,1979.08878326416,4817.02759861946
"Grand Prairie (other)",0,15,1,111544,0,13.4476082166657,0.896507208381081
"Balch Springs",0,0,0,19724,0,0,0
"Northwest Dallas",8,1666,1511,6741,118.676759302616,24714.4341468811,22415.0717258453
"East Oak Cliff",12,1267,1474,20914,57.3778350371867,6058.14270675182,7047.91024327278
