"NEIGHBORHO","num_murders","num_burglary","num_robbery","total_pop","murder_pc","burglary_pc","robbery_pc"
"Deep Ellum",1,200,216,2093,47.778309090063,9555.66167831421,10320.1143443584
"Glendale Heights",2,129,96,5606,35.6760603608564,2301.10604315996,1712.45094388723
"Park Lane",1,135,54,2812,35.5618773028255,4800.85350573063,1920.34132778645
"Hollywood Heights/Santa Monica",0,290,135,7810,0,3713.18832039833,1728.55313867331
"Spring Creek Village",0,54,10,3360,0,1607.14294761419,297.619053162634
"Lakewood",0,126,113,9830,0,1281.79043531418,1149.54225718975
"Lake Highlands",27,2574,2577,78666,34.3223247909918,3272.06179499626,3275.8753746748
"North Oak Cliff",1,407,558,16324,6.12594958511181,2493.26154589653,3418.27981173992
"Uptown",0,497,213,10795,0,4603.98346185684,1973.13576936722
"Ferguson Road",8,1425,924,43452,18.4111209819093,3279.48071062565,2126.48436427116
"Whispering Hills",0,69,77,5007,0,1378.07065621018,1537.84705325961
"Munger Place",2,85,22,2468,81.0372759588063,3444.08415257931,891.41009375453
"Knox-Henderson",0,236,73,3033,0,7781.07494115829,2406.85790777206
"Canyon Creek",0,24,9,8767,0,273.75384233892,102.657696697861
"DeSoto",0,0,0,44338,0,0,0
"Preston Royal",0,67,93,2076,0,3227.36017405987,4479.76887226105
"Irving (other)",0,0,1,166645,0,0,0.60007801039319
"Love Field",0,12,1,0,,,
"635 & Tollway (North Dallas)",2,455,401,17505,11.4253067295067,2599.25741702318,2290.77413678169
"Rowlett",0,0,0,58807,0,0,0
"Bryan Place/Cityplace",0,278,208,4353,0,6386.40001416206,4778.31363677979
"Prestonwood West",0,153,80,3613,0,4234.70810055733,2214.22631293535
"Westhollow",1,345,312,16048,6.23130617896095,2149.80058372021,1944.16753947735
"Redbird",12,1892,1845,32272,37.1839356375858,5862.66741156578,5717.03016757965
"Inwood-Northwest",0,102,68,3728,0,2736.05156689882,1824.03437793255
"Northwood Hills",0,61,118,3668,0,1663.03161531687,3217.0120626688
"Hillview Terrace",5,235,363,7664,65.240083495155,3066.28383696079,4736.43019795418
"University Park",0,0,4,22972,0,0,17.4125016201288
"LBJ & 75",2,443,365,18145,11.0223205410875,2441.44387543201,2011.57350093126
"East Plano",0,0,0,115007,0,0,0
"Junius Heights",0,54,2,2271,0,2377.80716270208,88.0669336766005
"Lakewood Heights",0,68,16,2238,0,3038.42723369598,714.924046769738
"Mesquite (other)",0,15,5,126719,0,11.8372146971524,3.94573835365009
"M Streets",0,334,210,7232,0,4618.36270987988,2903.76096963882
"Urbandale/Parkdale",3,227,91,9697,30.9374037897214,2340.93014150858,938.434526324272
"Arbor Creek",0,0,0,5964,0,0,0
"Beckley/Saner",2,237,208,6753,29.6164653263986,3509.55128669739,3080.11248707771
"Polk Terrace",0,123,146,3710,0,3315.36382436752,3935.30987203121
"The Village",0,183,128,9884,0,1851.4771014452,1295.02229392529
"Centerville",0,0,0,4974,0,0,0
"Garland (other)",0,10,9,198612,0,5.03494266013149,4.5314482122194
"Central Oak Cliff",1,411,919,14280,7.00280143064447,2878.15127521753,6435.57459115982
"Turtle Creek (Oak Lawn)",0,109,62,3073,0,3547.0224916935,2017.57233589888
"Addison",0,89,72,17013,0,523.129384964705,423.205783590674
"Devonshire",0,112,6,1962,0,5708.4608823061,305.810407735407
"Carrollton",0,42,63,109082,0,38.5031453333795,57.7547180000693
"Mockingbird Station/Greenville Avenue",0,146,193,3883,0,3759.97945666313,4970.383644104
"Downtown Dallas",1,538,366,3403,29.3858349323273,15809.5791935921,10755.2163302898
"Lancaster",1,78,65,34720,2.88018436549464,224.654376506805,187.211984302849
"Oak Lawn",2,1060,1239,27087,7.38361559342593,3913.31650316715,4574.14984703064
"Highland Hills",4,315,229,6625,60.377357294783,4754.71690297127,3456.60373568535
"Cedar Crest Village",0,120,54,2143,0,5599.62652623653,2519.83199268579
"West Dallas",8,1081,913,33859,23.6273961490951,3192.65201687813,2696.47650420666
"Lake Park Estates",0,140,56,3844,0,3642.03937351704,1456.81584253907
"McShann Estates",0,168,11,4169,0,4029.74337339401,263.852253556252
"Kessler Park",0,79,106,3507,0,2252.63759493828,3022.52639085054
"Stevens Park",0,99,293,3772,0,2624.60224330425,7767.76224374771
"Mountain Creek",0,650,154,22853,0,2844.26547586918,673.872139304876
"Grauwyler Park",0,310,220,7599,0,4079.48419451714,2895.11773735285
"Buckner Terrace",1,443,421,10128,9.87361781881191,4374.0127235651,4156.79290890694
"White Rock Forest",0,107,53,4593,0,2329.6320810914,1153.92990410328
"Prestonwood",1,558,453,44831,2.23059942072723,1244.67443674803,1010.46152412891
"Rockwall",0,0,0,16565,0,0,0
"White Rock Hills",5,240,179,4318,115.794350858778,5558.12865495682,4145.43785154819
"Kessler Plaza",0,153,277,6017,0,2542.79542714357,4603.62322628498
"Woodridge",0,159,154,5195,0,3060.63517928123,2964.38876539469
"Northwest Grand Prairie",0,0,0,5392,0,0,0
"Marsalis Park",2,138,142,3452,57.9374260269105,3997.68240749836,4113.55718970299
"Woodbridge",0,162,220,6202,0,2612.06068098545,3547.24265635014
"Sunnyvale",0,0,0,6246,0,0,0
"SE Lake Ray Hubbard",0,0,0,12902,0,0,0
"Everglade Park",4,470,543,6862,58.2920445594937,6849.31501746178,7913.14467787743
"Lochwood",1,274,259,7723,12.948336370755,3547.84391820431,3353.61920297146
"Deerpath Park",0,173,252,5307,0,3259.84545052052,4748.44537675381
"Glen Oaks",1,97,92,2945,33.9558580890298,3293.71802508831,3123.93885105848
"Valley View",1,116,145,4290,23.310023243539,2703.96266132593,3379.95328009129
"Peak's Addition",1,218,335,5767,17.3400374478661,3780.12843430042,5808.91296267509
"Kidd Springs",0,214,57,3548,0,6031.56723082066,1606.5388917923
"Casa View Heights",0,0,4,5234,0,0,76.4233875088394
"Northeast Dallas",0,52,52,1996,0,2605.21043092012,2605.21043092012
"Cockrell Hill",0,1,0,4203,0,23.7925298279151,0
"Countryside",0,41,13,3847,0,1065.76550751925,337.925646454096
"Southeast Oak Cliff",5,721,451,15752,31.7420024657622,4577.19638943672,2863.12848329544
"Southwest Richardson",0,0,0,8461,0,0,0
"Breckinridge Park",0,0,0,18597,0,0,0
"Coppell",0,39,8,45646,0,85.4401267133653,17.5261797267012
"Wynnewood North",5,189,553,6013,83.1531709991395,3143.18984746933,9196.74038887024
"Northwood",0,114,69,2577,0,4423.74870181084,2677.53209918737
"Richland Park",0,2,4,2721,0,73.5023873858154,147.004774771631
"Bent Tree",2,996,531,45778,4.36891095887404,2175.71761459112,1159.94578227401
"Farmers Branch",0,32,0,27695,0,115.54432567209,0
"Next to Cedar Hill",0,116,190,4206,0,2757.96484202147,4517.35630631447
"Glencoe",2,172,73,3768,53.0785589944571,4564.75578248501,1937.36739456654
"Lower Greenville & Belmont",0,275,225,5946,0,4624.95796382427,3784.05638039112
"Vickery Place",13,725,866,21030,61.8164543993771,3447.45591282845,4117.92695522308
"Herndon Park",1,144,473,4899,20.4123294679448,2939.37530368567,9655.0315618515
"Twin Oaks",1,174,281,6528,15.3186279931106,2665.44111073017,4304.53419685364
"NorthPark",0,148,71,6435,0,2299.92233216763,1103.34111377597
"North Dallas",2,974,765,29187,6.8523659138009,3337.10201084614,2621.02987617254
"Midway Hollow",0,146,79,6093,0,2396.19240164757,1296.56987264752
"El Tivoli Place",0,131,216,5288,0,2477.30705887079,4084.72009003162
"Forest Hills",0,193,190,5121,0,3768.79498362541,3710.21293103695
"Bachman",1,761,1262,31669,3.1576619221596,2402.98081189394,3984.96948182583
"Wilshire Heights",0,46,81,3177,0,1447.9068107903,2549.57508295774
"Glenn Heights",0,0,1,8342,0,0,11.9875330710784
"Henderson",1,585,710,14523,6.88562940922566,4028.09344232082,4888.79717886448
"Seagoville",0,93,92,17449,0,532.981846481562,527.250859886408
"Hutchins",0,0,0,6573,0,0,0
"Preston Hollow",0,168,45,14177,0,1185.01801043749,317.415525205433
"Pleasant Grove",33,4076,4074,116597,28.302613645792,3495.80161273479,3494.08648908138
"Exeter Wilhurt",0,105,102,2462,0,4264.82520997524,4142.97319948673
"South Dallas",21,1421,1625,21160,99.2438523098826,6715.50109982491,7679.58387732506
"Lake Cliff",1,559,510,9600,10.4166669188999,5822.91670143604,5312.50014901161
"Bruton Terrace",10,318,202,6313,158.403289970011,5037.22466528416,3199.74645972252
"Riverway Estates",0,226,113,5863,0,3854.68192398548,1927.34096199274
"Elmwood",0,101,241,4303,0,2347.19961881638,5600.74374079704
"Greenway Parks/Greenway Crest",0,22,81,1800,0,1222.22220525146,4500.00017881393
"Swiss Avenue",1,245,64,3544,28.2167049590498,6913.0927324295,1805.86911737919
"Western Grand Prairie",0,0,0,38461,0,0,0
