"geoid","geoid2","tract_name","name","total_commute_mins","avg_tract_commute","worker_pop"
"1400000US48113013102","48113013102","Census Tract 131.02, Dallas County, Texas","North Dallas",,,708
"1400000US48113019600","48113019600","Census Tract 196, Dallas County, Texas","Highland Park",,,909
"1400000US48085030201","48085030201","Census Tract 302.01, Collin County, Texas","Melissa",,,1237
"1400000US48085030302","48085030302","Census Tract 303.02, Collin County, Texas","Prosper",,,811
"1400000US48085030406","48085030406","Census Tract 304.06, Collin County, Texas","Stonebrook",,,1575
"1400000US48085030507","48085030507","Census Tract 305.07, Collin County, Texas","Frisco (east of Preston)",,,874
"1400000US48085030604","48085030604","Census Tract 306.04, Collin County, Texas","McKinney near Courthouse",,,761
"1400000US48085030701","48085030701","Census Tract 307.01, Collin County, Texas","Central McKinney",,,1284
"1400000US48085031314","48085031314","Census Tract 313.14, Collin County, Texas","Seis Lago",,,997
"1400000US48085031624","48085031624","Census Tract 316.24, Collin County, Texas","Dallas North Estates",,,1777
"1400000US48085031630","48085031630","Census Tract 316.30, Collin County, Texas","North Central Plano",,,1842
"1400000US48085031656","48085031656","Census Tract 316.56, Collin County, Texas","Midway Park",,,1248
"1400000US48085031659","48085031659","Census Tract 316.59, Collin County, Texas","West Plano",,,1386
"1400000US48085031708","48085031708","Census Tract 317.08, Collin County, Texas","Prestonwood West",,,2012
"1400000US48085031711","48085031711","Census Tract 317.11, Collin County, Texas","Bent Tree",,,1819
"1400000US48085031713","48085031713","Census Tract 317.13, Collin County, Texas","Bent Tree",,,2359
"1400000US48085031714","48085031714","Census Tract 317.14, Collin County, Texas","Bent Tree",,,3660
"1400000US48085031715","48085031715","Census Tract 317.15, Collin County, Texas","Bent Tree",,,1320
"1400000US48085031717","48085031717","Census Tract 317.17, Collin County, Texas","Prestonwood",,,1290
"1400000US48085031720","48085031720","Census Tract 317.20, Collin County, Texas","Prestonwood",,,2321
"1400000US48085031804","48085031804","Census Tract 318.04, Collin County, Texas","Canyon Creek",,,1121
"1400000US48085031806","48085031806","Census Tract 318.06, Collin County, Texas","Canyon Creek",,,979
"1400000US48113000201","48113000201","Census Tract 2.01, Dallas County, Texas","Wilshire Heights",,,1475
"1400000US48113000404","48113000404","Census Tract 4.04, Dallas County, Texas","Oak Lawn",,,2100
"1400000US48113000405","48113000405","Census Tract 4.05, Dallas County, Texas","Oak Lawn",,,1295
"1400000US48113000500","48113000500","Census Tract 5, Dallas County, Texas","Oak Lawn",,,3092
"1400000US48113000702","48113000702","Census Tract 7.02, Dallas County, Texas","Knox-Henderson",,,1978
"1400000US48113001002","48113001002","Census Tract 10.02, Dallas County, Texas","Lower Greenville & Belmont",,,1374
"1400000US48113001102","48113001102","Census Tract 11.02, Dallas County, Texas","Lakewood Heights",,,1586
"1400000US48113001301","48113001301","Census Tract 13.01, Dallas County, Texas","Junius Heights",,,1051
"1400000US48113001400","48113001400","Census Tract 14, Dallas County, Texas","Swiss Avenue",,,1808
"1400000US48113001502","48113001502","Census Tract 15.02, Dallas County, Texas","Peak's Addition",,,1665
"1400000US48113001600","48113001600","Census Tract 16, Dallas County, Texas","Bryan Place/Cityplace",,,2343
