name,real.town.name
FIVE POINTS,REDDING
GEORGETOWN,WILTON
LAKESIDE,MORRIS
LONG HILL,TRUMBULL
MECHANICSVILLE,THOMPSON
MILL PLAIN,DANBURY
NEWFIELD,STAMFORD
PINE GROVE,EAST LYME
PLEASANT VALLEY,BARKHAMSTED
RIDGEWOOD,CLINTON
SOUTH END,STAMFORD
WAREHOUSE POINT,EAST WINDSOR
ANDOVER,ANDOVER
ANSONIA,ANSONIA
ASHFORD,ASHFORD
WESTFORD,ASHFORD
WARRENVILLE,ASHFORD
WEST ASHFORD,ASHFORD
AVON,AVON
BARKHAMSTED,BARKHAMSTED
PLEASANT VLY,BARKHAMSTED
RIVERTON,BARKHAMSTED
BEACON FALLS,BEACON FALLS
PINE BRIDGE,BEACON FALLS
BERLIN,BERLIN
EAST BERLIN,BERLIN
KENSINGTON,BERLIN
BETHANY,BETHANY
BETHEL,BETHEL
EETHEL,BETHEL
BETHELHEM,BETHLEHEM
BETHLEHEM,BETHLEHEM
BLOOMFIELD,BLOOMFIELD
COTTAGE GROVE,BLOOMFIELD
BOLTON,BOLTON
BOZRAH,BOZRAH
FITCHVILLE,BOZRAH
GILMAN,BOZRAH
BANFORD,BRANFORD
BRANFORD,BRANFORD
STONY CREEK,BRANFORD
PINE ORCHARD,BRANFORD
SHORT BEACH,BRANFORD
INDIAN NECK,BRANFORD
DOUBLE BEACH,BRANFORD
BRIDEGPORT,BRIDGEPORT
BRIDGEORT,BRIDGEPORT
BRIDGEPORT,BRIDGEPORT
BRIGEPORT,BRIDGEPORT
TOILSOME HILL,BRIDGEPORT
MILL HILL,BRIDGEPORT
EAST BRIDGEPORT,BRIDGEPORT
BLACK ROCK,BRIDGEPORT
GROVER HILL,BRIDGEPORT
BRIDGEWATER,BRIDGEWATER
ROXBURY STATION,BRIDGEWATER
BRISTOL,BRISTOL
FORESTVILLE,BRISTOL
FORRESTVILLE,BRISTOL
EDGEWOOD,BRISTOL
EAST BRISTOL,BRISTOL
BROOKFIELD,BROOKFIELD
CANDLEWOOD ORCHARDS,BROOKFIELD
OBTUSE HILL,BROOKFIELD
BROOKFIELD CENTER,BROOKFIELD
BROOKLUN,BROOKLYN
BROOKLYN,BROOKLYN
QUEBEC,BROOKLYN
EAST BROOKLYN,BROOKLYN
STETSON CORNER,BROOKLYN
BURLINGTON,BURLINGTON
WHIGVILLE,BURLINGTON
CANAAN,CANAAN
NO CANAAN,CANAAN
SOUTH CANAAN,CANAAN
AMESVILLE,CANAAN
FALLS VILLAGE,CANAAN
CANTERBURY,CANTERBURY
CAUTERBURY,CANTERBURY
WESTMINSTER,CANTERBURY
CANTON,CANTON
CANTON CENTER,CANTON
COLLINSVILLE,CANTON
NORTH CANTON,CANTON
CHAPLIN,CHAPLIN
SOUTH CHAPLIN,CHAPLIN
SHERMAN CORNER,CHAPLIN
CLARKS CORNER,CHAPLIN
CHESHIE,CHESHIRE
CHESHIRE,CHESHIRE
CHESHIRE HEIGHTS,CHESHIRE
CHESHIREDALY,CHESHIRE
HONEYPOT GLEN,CHESHIRE
MIXVILLE,CHESHIRE
WEST CHESHIRE,CHESHIRE
RICHARDS CORNER,CHESHIRE
BROOKSVALE,CHESHIRE
IVES CORNER,CHESHIRE
CHESTER,CHESTER
CLINTON,CLINTON
KELSEYTOWN,CLINTON
CLINTON BEACH,CLINTON
HARBOR VIEW,CLINTON
COLCHESTER,COLCHESTER
NORTH WESTCHESTER,COLCHESTER
COLEBROOK,COLEBROOK
NORTH COLEBROOK,COLEBROOK
MCCLAVEVILLE,COLEBROOK
COLUMBIA,COLUMBIA
CORNWALL,CORNWALL
CORNWALL BRG,CORNWALL
CORNWALL BRIDGE,CORNWALL
WEST CORNWALL,CORNWALL
CALHOUN CORNERS,CORNWALL
COVENTRY,COVENTRY
NORTH COVENTRY,COVENTRY
CROMWELL,CROMWELL
GOODRICH HEIGHTS,CROMWELL
NORTH CROMWELL,CROMWELL
DANBURY,DANBURY
HAWTHORNE TERRACE,DANBURY
CANDLEWOOD PINES,DANBURY
MARGERIE MANOR,DANBURY
CEDAR HEIGHTS,DANBURY
AQUA VISTA,DANBURY
SNUG HARBOR,DANBURY
